id,title,url,image_url,description,prep_time,cook_time,total_time,servings,ingredients_text,instructions_text,tags
,Recipes,https://www.pickuplimes.com/recipe/?sb=&public=on,https://cdn.pickuplimes.com/cache/8b/f5/8bf58f2f67b95c5ada45955868104246.jpg,Search our extensive library of recipes using text search of advanced filters.,,,,,,,"Salad


Dressing


One-bowl / one-pot


No cook, Salad


Dressing


10 ingredients or less


No cook, Main


Salad


Budget-friendly, Main


10 ingredients or less


Budget-friendly, Breakfast


Snack


Homemade staple


10 ingredients or less


Budget-friendly, Spread


Homemade staple


10 ingredients or less


No cook


Budget-friendly, Homemade staple


10 ingredients or less


No cook, Dessert


10 ingredients or less, Dessert


10 ingredients or less, Dessert, Main


One-bowl / one-pot


Freezer-friendly, Main


Soup


One-bowl / one-pot


Freezer-friendly"
,Recipes,https://www.pickuplimes.com/recipe/,https://cdn.pickuplimes.com/cache/92/c1/92c18131294dbf322f3e4ea6b49aa032.jpg,Search our extensive library of recipes using text search of advanced filters.,,,,,,,"Salad


Side


10 ingredients or less


No cook


Budget-friendly, Dessert


10 ingredients or less


Freezer-friendly


Budget-friendly, Side


10 ingredients or less


One-bowl / one-pot


Budget-friendly, Drink


10 ingredients or less


No cook


Budget-friendly, Homemade staple


10 ingredients or less


No cook, Main


Freezer-friendly


Budget-friendly, Breakfast


10 ingredients or less


Budget-friendly, Side


Spread


No cook


10 ingredients or less


One-bowl / one-pot


Budget-friendly, Snack


Appetizer


Side, Main, Salad


Side


10 ingredients or less, Dessert


10 ingredients or less


Freezer-friendly


Budget-friendly"
48,Vegan 'Egg' Salad Breakfast Bowl,https://www.pickuplimes.com/recipe/vegan-egg-salad-breakfast-bowl-48,https://www.pickuplimes.com/static/images/app_download_banner/sadia_with_phone_v4.7394d3e21093.webp,"About once a month, on the weekends in which we have the pleasure to take it slow in the morning, we dedicate a bit of time to making this incredibly delicious and hearty breakfast. The star of the show in this bowl is Robin's soft and fluffy vegan 'egg' salad, which pairs so incredibly well with the roasted rosemary potatoes, the blistered tomatoes, and the garlicky spinach.",,,,,"4 medium potatoes, cut into 1 cm cubes
1 Tbsp (15ml) vegetable oil
1 tsp (2.3g) onion powder
½ tsp paprika powder
½ tsp dried rosemary
¼ tsp salt
¼ tsp ground black pepper
20 cherry tomatoes, on the vine
1 tsp (5ml) vegetable oil
23 oz (650g) firm tofu, pressed
½ tsp salt
¼ tsp ground turmeric
¼ tsp ground black pepper
½ cups (120g) vegan mayonnaise
1 tsp (2.1g) curry powder
1 stalk green onion
2 tsp (10ml) vegetable oil
6 garlic cloves, minced
10 cups (300g) fresh spinach
1 Tbsp (15ml) sodium-reduced soy sauce tamari
1 tsp (5ml) sambal oelek sriracha cayenne pepper hot sauce
1 avocado, quartered","1. Preheat the oven to 390°F (200°C)*. Add the potatoes to a lined baking tray and drizzle over the oil. Toss to coat.
2. Then sprinkle over the onion powder, paprika, rosemary, salt, and pepper. Toss again, then bake for 20 minutes.
3. Remove from the oven, stir, and now add the vine of tomatoes to the tray to bake with the potatoes. Return to the oven for another 20 - 25 minutes, or until golden.
4. Meanwhile, heat the oil in a large pan on medium-high. Crumble in the tofu with your hands. Cook for 5 - 7 minutes, stirring throughout. The aim is to get the tofu soft and spongy, but not too crispy.
5. Then add in the salt, turmeric, and pepper. Cook for an additional 1 - 2 minutes while stirring so that the spices toast.
6. Remove from the heat, and transfer the tofu to a bowl. Add in the mayo and curry powder, and stir well.
7. Thinly slice the entire stalk of green onion. The white bottom part of the onion can be further minced and then stirred into the ""egg"" salad mixture. The sliced green part of the onion can be reserved for garnish.
8. For the garlic spinach, heat the oil in a large pan on medium-high. When hot, add the garlic and cook until golden, about 4 - 5 minutes.
9. Then add all the spinach, soy sauce, and sambal. Cook for another minute, or until the spinach is wilted.
10. Serve each component of the meal in bowls, alongside some avocado. Enjoy!
11. * We used top and bottom heating (not fan-assisted/convection).
12. Best if enjoyed immediately.
13. The potatoes, egg salad, and garlic spinach can be stored separately in airtight containers in the fridge for up to 3 days.",
706,"Vegan ""Egg"" Salad Sandwich",https://www.pickuplimes.com/recipe/vegan-egg-salad-sandwich-706,https://www.pickuplimes.com/static/images/app_download_banner/sadia_with_phone_v4.7394d3e21093.webp,"Egg salad sandwiches are a classic lunch, and we've decided to veganize it. It's an incredibly easy and speedy recipe to whip together, and the best part is that this recipe is perfect for meal prep. Enjoy it on your sandwiches or wraps throughout the week!",,,,,"11 oz (325g) firm tofu, pressed, drained
½ cups (120g) vegan mayonnaise
2 Tbsp (5g) nutritional yeast flakes
2 Tbsp (4g) fresh chives, chopped
1½ tsp (8ml) dijon mustard
½ tsp curry powder
¼ tsp ground turmeric
¼ tsp kala namak† salt
¼ tsp ground black pepper
3 romaine lettuce leaves any lettuce of choice
½ cucumber, sliced
6 slices whole wheat bread gluten-free bread","1. Finely chop the pressed tofu into very small pieces. Transfer to a large bowl and mix together with the mayonnaise, nutritional yeast, chives, mustard, curry powder, turmeric, salt, and pepper.
2. Assemble the sandwiches by adding a layer of lettuce, sliced cucumber, and a generous layer of ""egg"" salad on top of the bread.
3. Cut in half if desired, and enjoy!
4. †Kala namak, is a salt often used in South Asian cuisine. The sulphur compounds give the salt an egg-like smell and flavour.
5. The assembled sandwiches are best when enjoyed on the same day.
6. The ""egg"" salad can be stored in an airtight container in the fridge for up to 3 days.",
410,Kichaloo Banjan - Afghan Potato Eggplant Dish,https://www.pickuplimes.com/recipe/kichaloo-banjan-afghan-potato-eggplant-dish-410,https://www.pickuplimes.com/static/images/app_download_banner/sadia_with_phone_v4.7394d3e21093.webp,"""Kichaloo"" is potato, and ""Banjan"" is eggplant in Dari, one of the languages spoken in Afghanistan. Traditionally, Banjan is a dish consisting of fried eggplant, tomato, and a yogurt sauce. Growing up, my mum made her own version of the dish, which included potatoes and used much less oil than the traditional Afghan banjan recipe. It's a comforting dish that immediately transports me back to Mum's kitchen. Serve this dish with some toasted bread and enjoy a taste of my childhood.",,,,,"3 small eggplants
1 tsp (6g) salt
2 Tbsp (30ml) vegetable oil, for frying eggplants
3 medium potatoes, peeled, cut into ½ cm thick rounds
3 medium tomatoes, sliced into 1 cm thick rounds
2 tsp (10ml) vegetable oil, for frying garlic
3 garlic cloves, crushed
½ tsp ground turmeric
¼ tsp salt
¾ cups (180ml) boiling water
1 cup (260g) unsweetened soy yogurt any unsweetened plant-based yogurt of choice
1 garlic clove, crushed
½ tsp salt
cooked rice
salata (Afghan salad)
whole wheat pita bread","1. Trim the tops off the eggplants. Optionally, use a potato peeler to create a decorative striped pattern by peeling alternating lengthwise strips of the skin.
2. Slice the eggplant into ½-inch (1½ cm) rounds and place them in a large bowl. Sprinkle with salt and massage it onto both sides of each slice.
3. Let the eggplant sit for 2 to 4 hours to draw out excess moisture. By the end, it should be ""sweating"" with a pool of dark liquid collected at the bottom of the bowl. This helps reduce oil absorption later.
4. Use a clean kitchen towel to squeeze out as much moisture as possible from each eggplant slice.
5. Heat half the oil in a sauté pan over high heat. Once hot, reduce to medium and add half the eggplant in a single layer. Fry until golden on both sides, then transfer to a plate. Repeat with the remaining oil and eggplant.
6. Once the last batch of eggplant is golden on both sides, reduce the heat to low and layer the sliced potatoes, tomatoes, and cooked eggplant in the pan.
7. Meanwhile, heat the oil and garlic in a small pan over medium-high heat. Cook for about 3 minutes, or until the garlic turns golden.
8. Then add the turmeric and salt, stirring for 20 seconds.
9. Add the boiling water and stir to dissolve the turmeric. Then pour the mixture over the vegetables in the sauté pan.
10. Cover and cook on medium-low heat for 35 - 40 minutes without stirring, as this will keep the vegetables from turning to mush. Serve with a drizzle of garlic yogurt, alongside toasted bread and salata. Enjoy!
11. Store in an airtight container in the fridge for up to 4 days.
12. The garlic yogurt is best enjoyed immediately, but can be stored in a container in the fridge for up to 1 day.",
2361,Eggplant Pesto Orzo,https://www.pickuplimes.com/recipe/eggplant-orzo-2361,https://www.pickuplimes.com/static/images/app_download_banner/sadia_with_phone_v4.7394d3e21093.webp,"This creamy eggplant pesto orzo is an easy, flavorful dish that’s super simple to make. The tender orzo pasta is paired with sautéed eggplant and vegan red pesto, creating a rich and savoury base. Topped with crunchy toasted croutons (optional, but they add a delightful crunch), this meal strikes the perfect balance between creamy and crispy textures. It’s a comforting, satisfying, and budget-friendly vegan recipe, perfect for a quick weeknight dinner",,,,,"1 cup (180g) dry orzo pasta dry gluten-free orzo pasta
½ Tbsp (8ml) vegetable oil
1 medium onion, finely chopped
¼ cups (65g) tomato paste
¼ cups (65g) vegan red pesto
1 medium eggplant, cut into 1 cm cubes†
1½ cups (250g) cooked cannellini beans
¾ cups (180ml) water
¼ cups (60ml) soy cooking cream any unsweetened plant-based milk of choice
1 Tbsp (2.6g) nutritional yeast flakes
¾ tsp salt
½ tsp ground black pepper
1 cup (30g) croutons gluten-free breadcrumbs
½ Tbsp (8ml) vegetable oil
1 tsp (0.8g) Italian seasoning
fresh basil
•
•
•","1. Cook the orzo according to the package instructions.
2. Meanwhile, add the croutons, oil, and Italian seasoning mix to a small pan on medium heat. Cook for 5 minutes, until golden. Set aside.
3. Add the oil to a sauté pan. When hot, add the onion and cook for 5 - 7 minutes, until golden. Add splashes of water as needed to deglaze the pan.
4. Add the tomato paste and pesto and cook for 1 minute.
5. Add the remaining orzo ingredients. Cook for 8 - 10 minutes, or until the eggplant is softened to your liking.
6. When the orzo is al dente, drain it, and stir it into the pan. Taste test and add more pesto and cooking cream to taste.
7. Serve with the seasoned croutons on top. Enjoy!
8. †For us 1 eggplant was about 290 g.
9. Store in an airtight container in the fridge for up to 3 days.
10. Reheat with a bit of water, milk, or vegetable stock to make it creamy again.",
63,Eggplant & Lentil Apricot Curry,https://www.pickuplimes.com/recipe/eggplant-lentil-apricot-curry-63,https://www.pickuplimes.com/static/images/app_download_banner/sadia_with_phone_v4.7394d3e21093.webp,"A refreshing and comforting curry recipe. The cooked apricots impart a pleasantly sweet taste to this dish, the coconut yogurt adds a touch of creamy richness, while the mint and lemon make it deliciously refreshing. It's a dish that works equally well in the winter as it does in the summer!",,,,,"2 medium eggplants zucchinis medium heads cauliflower
1 tsp (5ml) olive oil
1 tsp (6g) salt
1 cup (200g) uncooked basmati rice vegan naans
2 tsp (10ml) vegetable oil
1 medium onion, diced
3 garlic cloves, minced
2 tsp (4g) ground cumin
2 tsp (3.8g) ground coriander
1 tsp (2.6g) ground cinnamon
1 bell pepper, diced
1⅔ cups (400g) canned diced tomatoes
1 cup (180g) cooked brown lentils
¼ cups (32g) dried apricots, diced
½ tsp salt
¼ tsp ground black pepper
¾ cups (195g) unsweetened coconut yogurt any unsweetened plant-based yogurt of choice
5 fresh mint leaves, thinly sliced
½ lemon, cut into wedges","1. Line a baking tray and preheat oven to 390°F (200°C)*.
2. Cut each eggplant in half lengthwise and cut cross-hatches into the flesh**.
3. Sprinkle each side with oil and salt and rub them in. Place the eggplant on a lined baking tray cut side down, and bake for 20 minutes.
4. Meanwhile, cook the rice according to the package instructions.
5. Meanwhile, heat the oil in a large pot on medium-high heat. Sauté the onions until soft, about 3 - 5 minutes. Add splashes of water as needed to deglaze the pot.
6. Add the garlic, cumin, coriander, and cinnamon and sauté until fragrant, about 30 seconds. Then remove the pot from the heat.
7. Remove the roasted eggplant from the oven. When cool enough to handle, scoop out the soft flesh with a spoon and transfer to the pot. Discard the skin.
8. Add the remaining curry ingredients to the pot and heat through until the bell peppers are soft but still crunchy.
9. Serve with coconut yogurt, mint, and a squeeze of lemon juice overtop. Enjoy!
10. * We used top and bottom heating (not fan-assisted/convection).
11. ** To reduce the bitterness of mature eggplants, optionally soak the scored eggplant in a saltwater solution (2 tsp salt per litre of water) for 10 - 15 minutes. Then drain, rinse, and pat dry. Skip this step for smaller eggplants or those with few seeds.
12. Keep in an airtight container in the fridge for up to 4 days.
13. Store in the freezer for up to 1 month.",
688,Borani Banjan - Afghan Eggplant Dish,https://www.pickuplimes.com/recipe/borani-banjan-afghan-eggplant-dish-688,https://www.pickuplimes.com/static/images/app_download_banner/sadia_with_phone_v4.7394d3e21093.webp,"Traditionally, banjan is made with fried eggplants, which makes them super creamy and tender. It has a melt-in-your-mouth, velvety texture and is loaded with flavour. Be sure to have some bread on the side to help soak up all the delicious sauce.",,,,,"4 small eggplants†
1¼ cups (300ml) vegetable oil†
4 garlic cloves, crushed
2 green chili peppers, sliced lengthwise
3 medium tomatoes, chopped
2 Tbsp (33g) tomato paste
½ tsp ground turmeric
1 tsp (6g) salt
1 medium yellow onion, sliced into ½ cm thick rounds
2 medium tomatoes, cut into 1 cm thick rounds
1 cup (260g) unsweetened soy yogurt any unsweetened plant-based yogurt of choice
2 garlic cloves, crushed
½ tsp salt
whole wheat pita bread
salata (Afghan salad)
•
•
•","1. Peel the eggplants. Cut them through the middle horizontally and then slice them into 1 cm thick planks. Heat the oil in a sauté pan over high heat.
2. When the oil is hot, carefully add a few eggplant slices. Cook until golden, about 2 - 3 min per side. Transfer the fried eggplant to a strainer set over a bowl to allow any excess oil to drain. Repeat until all the eggplants are cooked.
3. There should be leftover oil in the pan after frying the eggplant. For the following steps, we will need ¼ cup (60 ml) of oil*. Reduce the temperature to medium. Add the garlic (careful as it may splatter). Cook until fragrant and golden, about 30 seconds. Stir throughout.
4. Add the green pepper, chopped tomatoes, tomato paste, turmeric, and salt. Stir and cook for another 1 - 2 minutes.
5. Drop the heat to medium-low. Place the sliced onion over the sauce in a single layer. Then lay half the eggplant over the onions, layer the tomato slices over that, and finish with the remaining eggplant slices. Cover the pan and cook until the onions are soft, about 20 minutes**.
6. Meanwhile, make the sauce by combining the yogurt, garlic, and salt in a small bowl.
7. Add some of the yogurt sauce to the base of a serving dish. Then scoop up the eggplant, tomato, and onion mixture and transfer it to the dish. Remove the peppers from the bottom of the pan and place them decoratively on top. Scoop up any remaining sauce and drizzle over the dish.
8. Finish with another drizzle of yogurt sauce, dried mint, and paprika powder for garnish. Serve with bread and enjoy!
9. †Preferably, use the dark purple variety of eggplants, also known as the globe eggplants.
10. †If you'd prefer to use less oil, try our ""Kichaloo Banjan"" recipe.
11. * If there is more than that, carefully scoop some oil out. If there is less than that, add a bit more oil to the pan.
12. ** Try not to stir, if possible, so that the onion and tomatoes retain some of their shape, otherwise they get ""mushy"".
13. This dish is best the day it's made.
14. Store leftover Banjan and yogurt sauce separately in airtight containers in the fridge for up to 3 days.",
1225,Simple Chickpea Frittata,https://www.pickuplimes.com/recipe/simple-chickpea-frittata-1225,https://www.pickuplimes.com/static/images/app_download_banner/sadia_with_phone_v4.7394d3e21093.webp,"Frittata is originally an Italian open-face omelette made with eggs. This simple vegan frittata is flavourful, high in protein, and naturally gluten-free with kala namak added to give it a more authentic egg-y frittata flavour. You can enjoy it as a savoury breakfast, or a hearty lunch!",,,,,"1 cup (115g) chickpea flour
¾ tsp kala namak†
¼ tsp baking powder
¾ cups (180ml) water
1 medium tomato, finely chopped bell pepper sun-dried tomatoes in oil
½ zucchini, grated fresh spinach
½ cups (70g) frozen green peas
¼ cups (6g) fresh basil, chopped
1 Tbsp (15ml) olive oil
½ avocado
½ cups (130g) unsweetened soy yogurt any unsweetened plant-based yogurt of choice
chili flakes
fresh basil","1. To a large bowl, add the chickpea flour, kala namak, baking powder, and water. Whisk until smooth.
2. Add the tomato, zucchini, peas, basil. Mix well.
3. Heat up the oil in a non-stick medium pan on medium heat. Once warm, add the frittata mixture. Cook, fully covered, for 8 - 10 minutes or until the bottom, is golden.
4. Flip the frittata and cook, covered, for another 5 - 8 minutes, until golden and cooked through.
5. Serve it with sliced avocado and unsweetened yogurt. Enjoy!
6. †Kala namak, also known as Himalayan black salt, is a salt found in some South Asian cuisines. The sulphur compounds give the salt an egg-like smell and flavour.
7. Store in an airtight container in the fridge for up to 2 days.",
36,Za'atar & Mint Veggie Wraps,https://www.pickuplimes.com/recipe/zaatar-mint-veggie-wraps-36,https://www.pickuplimes.com/static/images/app_download_banner/sadia_with_phone_v4.7394d3e21093.webp,"Za'atar is the name of a herb that's traditionally dried in the sun and then mixed with sesame seeds, sumac, and several other flavourful spices. It's commonly eaten with pita (round flatbread) and dipped in olive oil, or used on baked bread, hummus or to season vegetables with! For this recipe, we chose to season the veggies with our own homemade Za'atar spice mix. These wraps are filling and flavour-packed, quick to make, and incredibly wholesome.",,,,,"1 Tbsp (15ml) olive oil
1 tsp (2g) whole cumin seeds
1 zucchini, chopped
1 small eggplant, chopped
½ tsp salt
1½ cups (270g) cooked brown lentils cooked green lentils cooked chickpeas
1 green bell pepper, chopped yellow bell pepper red bell pepper
1½ Tbsp (9g) za'atar spice mix
1 cup (260g) unsweetened soy yogurt any unsweetened plant-based yogurt of choice
2 garlic cloves, crushed
½ lemon, juiced
2 Tbsp (1.5g) fresh mint leaves, thinly sliced
¼ tsp salt
4 pita breads large gluten-free tortillas
½ cups (125g) hummus
2 medium tomatoes, diced
1 cup (35g) romaine lettuce, thinly sliced any lettuce of choice
2 Tbsp (30ml) tahini
•
•
•","1. Add the oil to a large pan on high heat. When hot, toast the cumin seeds for 2 minutes, stirring throughout. Then add the zucchini, eggplant, and salt. Cook this for 2 - 3 minutes, stirring occasionally.
2. Add the lentils, bell pepper, and za'atar mix to the pan. Drop the heat to medium and cover with a lid. Cook until the veggies are softened to your liking, about 8 - 10 minutes.
3. Meanwhile, to a medium bowl, add in the yogurt, garlic, lemon juice, mint leaves, and salt. Stir, and set aside.
4. Warm up your wraps, if desired. We like to brush a bit of water on both sides of the pita, and then add it to the preheated skillet to soften and lightly toast.
5. To assemble, spread some hummus and yogurt sauce on the pita, and top with both fresh and sautéed veggies, Drizzle over some tahini, fold the wraps, and enjoy!
6. Best if enjoyed immediately.
7. Wraps, fillings, and sauce can be stored separately in airtight containers in the fridge for up to 3 days.",
