id,title,url,image_url,description,prep_time,cook_time,total_time,servings,ingredients_text,instructions_text,tags
,Recipes,https://www.pickuplimes.com/recipe/?sb=&public=on,https://cdn.pickuplimes.com/cache/8b/f5/8bf58f2f67b95c5ada45955868104246.jpg,Search our extensive library of recipes using text search of advanced filters.,,,,,,,"Salad


Dressing


One-bowl / one-pot


No cook, Salad


Dressing


10 ingredients or less


No cook, Main


Salad


Budget-friendly, Main


10 ingredients or less


Budget-friendly, Breakfast


Snack


Homemade staple


10 ingredients or less


Budget-friendly, Spread


Homemade staple


10 ingredients or less


No cook


Budget-friendly, Homemade staple


10 ingredients or less


No cook, Dessert


10 ingredients or less, Dessert


10 ingredients or less, Dessert, Main


One-bowl / one-pot


Freezer-friendly, Main


Soup


One-bowl / one-pot


Freezer-friendly"
,Recipes,https://www.pickuplimes.com/recipe/,https://cdn.pickuplimes.com/cache/92/c1/92c18131294dbf322f3e4ea6b49aa032.jpg,Search our extensive library of recipes using text search of advanced filters.,,,,,,,"Salad


Side


10 ingredients or less


No cook


Budget-friendly, Dessert


10 ingredients or less


Freezer-friendly


Budget-friendly, Side


10 ingredients or less


One-bowl / one-pot


Budget-friendly, Drink


10 ingredients or less


No cook


Budget-friendly, Homemade staple


10 ingredients or less


No cook, Main


Freezer-friendly


Budget-friendly, Breakfast


10 ingredients or less


Budget-friendly, Side


Spread


No cook


10 ingredients or less


One-bowl / one-pot


Budget-friendly, Snack


Appetizer


Side, Main, Salad


Side


10 ingredients or less, Dessert


10 ingredients or less


Freezer-friendly


Budget-friendly"
292,Chocolate Chia Breakfast Pudding,https://www.pickuplimes.com/recipe/chocolate-chia-breakfast-pudding-292,https://cdn.pickuplimes.com/cache/60/66/6066ac0459a4a0ab9247706f514d44e4.jpg,"This chocolate chia pudding is sweet enough for a chocolate-lover, but light enough for breakfast. With minimal prep, you’re set for a tasty and easy start to your day!",,,,,"1 cup (240ml) unsweetened soy milk any unsweetened plant-based milk of choice
3 Tbsp (32g) whole chia seeds
2 Medjool dates, pits removed, roughly chopped
1 Tbsp (7g) Dutch-processed cocoa powder
½ Tbsp (8ml) maple syrup agave syrup
1 tsp (5ml) pure vanilla extract
½ tsp ground cinnamon
½ banana, sliced
½ cups (60g) fresh raspberries fresh mixed berries
¼ cups (30g) vegan granola gluten-free vegan granola
chocolate shavings
roasted pumpkin seeds","1. Add all of the pudding ingredients in a bowl or mason jar. Stir and let sit for 8 minutes. Then stir again to prevent clumping. Cover and chill in the fridge overnight.
2. Stir well before adding the toppings, and enjoy!
3. Store in an airtight container or mason jar in the fridge for up to 3 days.
4. Mix in the fruit and toppings the day you're going to enjoy the pudding.",
188,Hazelnut Granola Breakfast Bars,https://www.pickuplimes.com/recipe/hazelnut-granola-breakfast-bars-188,https://cdn.pickuplimes.com/cache/8b/62/8b62bfdb1b1c2a19d7628704b9c48532.jpg,"These are wonderfully dense bars. They're naturally sweetened with dates, and made with whole food ingredients. Make them ahead of time to enjoy as a mid-day snack, or enjoy them for breakfast when on-the-go together with some plant-based yogurt and/or fruit to make it a complete meal.",,,,,"2 Tbsp (14g) ground flaxseeds
6 Tbsp (90ml) water
1 cup (135g) roasted unsalted hazelnuts
1¼ cups (115g) rolled oats, for blending gluten-free rolled oats
1 tsp (2.6g) ground cinnamon
½ tsp salt
1¼ cups (115g) rolled oats, remaining whole gluten-free rolled oats
¾ cups (135g) Medjool dates, pits removed
½ cups (130g) almond butter any nut butter of choice
⅓ cups (75g) refined coconut oil, soft or melted†
1 tsp (5ml) pure vanilla extract
½ cups (70g) dried cranberries, chopped raisins dried apricots dried figs dried apples
¼ cups (39g) raw pumpkin seeds hemp seeds raw sunflower seeds
¼ cups (25g) raw pecans any nut of choice
1.4 oz (40g) dairy-free dark chocolate, chopped
2 Tbsp (10g) unsweetened coconut flakes (optional)","1. Add the ground flaxseeds and water to a small bowl. Mix and sit aside.
2. Line or lightly grease a 9 x 13 inch (18 x 27 cm) baking dish. Preheat the oven to 350°F (180°C)*.
3. Add the hazelnuts, oats, cinnamon, and salt to a food processor. Blend into a flour.
4. Transfer to a large bowl and add the remaining whole oats to the bowl as well.
5. Add the dates to the now-empty food processor. Blend until a paste is formed.
6. Then add the almond butter, coconut oil, vanilla extract, and gelled flaxseeds. Blend until well combined.
7. Transfer the sticky mixture from the food processor into the large bowl with the dry ingredients. Add the cranberries, pumpkin seeds, pecans, and chocolate to the bowl as well. Mix well.
8. Transfer the mixture to the baking dish, and press down firmly to smooth out the top. If desired, press on any of the optional toppings, like coconut flakes or more nuts or dried fruit.
9. Bake on the centre rack of the oven until lightly golden, about 14 - 17 minutes. Let cool completely before cutting into bars. Enjoy!
10. †Refined coconut oil is coconut oil that doesn't smell or taste like coconuts. If you prefer a distinct coconut taste, use unrefined coconut oil instead.
11. * We used top and bottom heating (not fan-assisted/convection).
12. The granola bars are rather dense. We found that they're a nice compliment to enjoy with something creamy, like crumbled onto some plant-based yogurt or a smoothie.
13. Store in an airtight container in the fridge for up to 1 week.
14. Store in the freezer for up to 1 month.",
48,Vegan 'Egg' Salad Breakfast Bowl,https://www.pickuplimes.com/recipe/vegan-egg-salad-breakfast-bowl-48,https://cdn.pickuplimes.com/cache/e9/a9/e9a9aa3309249d01aeecd994ab866e4c.jpg,"About once a month, on the weekends in which we have the pleasure to take it slow in the morning, we dedicate a bit of time to making this incredibly delicious and hearty breakfast. The star of the show in this bowl is Robin's soft and fluffy vegan 'egg' salad, which pairs so incredibly well with the roasted rosemary potatoes, the blistered tomatoes, and the garlicky spinach.",,,,,"4 medium potatoes, cut into 1 cm cubes
1 Tbsp (15ml) vegetable oil
1 tsp (2.3g) onion powder
½ tsp paprika powder
½ tsp dried rosemary
¼ tsp salt
¼ tsp ground black pepper
20 cherry tomatoes, on the vine
1 tsp (5ml) vegetable oil
23 oz (650g) firm tofu, pressed
½ tsp salt
¼ tsp ground turmeric
¼ tsp ground black pepper
½ cups (120g) vegan mayonnaise
1 tsp (2.1g) curry powder
1 stalk green onion
2 tsp (10ml) vegetable oil
6 garlic cloves, minced
10 cups (300g) fresh spinach
1 Tbsp (15ml) sodium-reduced soy sauce tamari
1 tsp (5ml) sambal oelek sriracha cayenne pepper hot sauce
1 avocado, quartered","1. Preheat the oven to 390°F (200°C)*. Add the potatoes to a lined baking tray and drizzle over the oil. Toss to coat.
2. Then sprinkle over the onion powder, paprika, rosemary, salt, and pepper. Toss again, then bake for 20 minutes.
3. Remove from the oven, stir, and now add the vine of tomatoes to the tray to bake with the potatoes. Return to the oven for another 20 - 25 minutes, or until golden.
4. Meanwhile, heat the oil in a large pan on medium-high. Crumble in the tofu with your hands. Cook for 5 - 7 minutes, stirring throughout. The aim is to get the tofu soft and spongy, but not too crispy.
5. Then add in the salt, turmeric, and pepper. Cook for an additional 1 - 2 minutes while stirring so that the spices toast.
6. Remove from the heat, and transfer the tofu to a bowl. Add in the mayo and curry powder, and stir well.
7. Thinly slice the entire stalk of green onion. The white bottom part of the onion can be further minced and then stirred into the ""egg"" salad mixture. The sliced green part of the onion can be reserved for garnish.
8. For the garlic spinach, heat the oil in a large pan on medium-high. When hot, add the garlic and cook until golden, about 4 - 5 minutes.
9. Then add all the spinach, soy sauce, and sambal. Cook for another minute, or until the spinach is wilted.
10. Serve each component of the meal in bowls, alongside some avocado. Enjoy!
11. * We used top and bottom heating (not fan-assisted/convection).
12. Best if enjoyed immediately.
13. The potatoes, egg salad, and garlic spinach can be stored separately in airtight containers in the fridge for up to 3 days.",
254,Quick-Cooking Millet Breakfast Porridge,https://www.pickuplimes.com/recipe/quick-cooking-millet-breakfast-porridge-254,https://cdn.pickuplimes.com/cache/18/48/1848586f2f226cc7b0803567d962ffbf.jpg,"This porridge variation is a nice change from the usual oatmeal breakfast. It uses millet, a naturally gluten-free ancient grain.",,,,,"⅓ cups (65g) uncooked millet, soaked overnight† rolled oats
1½ cups (360ml) unsweetened soy milk any unsweetened plant-based milk of choice
½ tsp ground cinnamon
½ tsp pumpkin spice mix (optional)
1 banana, sliced
1 Tbsp (7g) ground flaxseeds
⅓ cups (50g) fresh mixed berries stewed berries
0.35 oz (10g) dairy-free dark chocolate, chopped (optional) sunflower seed butter any nut butter of choice","1. Add the drained millet, milk, and spices to a saucepan. Bring to a boil, then reduce heat to a simmer. Cover and cook for 10 minutes.
2. Then add the banana and flaxseeds and cook for an additional 5 minutes. The banana dissolves in the porridge as it cooks, making it naturally sweet and creamy.
3. The millet is ready when soft and chewy to your liking*. Add desired toppings and enjoy!
4. †If unable to soak the millet overnight, cook according to the package instructions, as more water will need to be needed. Keep in mind we are also cooking the millet in plant milk, so subtract this from the amount of water listed on the package directions. Learn more about the benefits of soaking in our PUL article.
5. * Add more milk if a thinner consistency is preferred, or remove the lid and simmer on low if a thicker consistency is desired.
6. This porridge is best when enjoyed immediately.
7. Store leftovers for up to 1 day in the fridge in an airtight container. Reheat on the stove and add some additional plant milk to bring it to desired consistency.",
34,Vegan Breakfast Waffles,https://www.pickuplimes.com/recipe/vegan-breakfast-waffles-34,https://cdn.pickuplimes.com/cache/7e/e2/7ee2ef41cd2f9a2e873a0b51f50b2c8f.jpg,"Pancakes for breakfast are a weekend ritual for us, and now we'll be adding waffles to the menu! These waffles make for a warm and crunchy base, on top of which you can pile on your favourite fruits, nut butter, plant-yogurts, and syrups. If you don't have a waffle maker, no sweat - just add a couple of spoonfuls of the batter to a preheated skillet on the stove to turn these into little mini pancakes. Enjoy!",,,,,"1½ cups (360ml) unsweetened soy milk† unsweetened pea milk
1 Tbsp (15ml) apple cider vinegar white vinegar
2 cups (250g) whole wheat flour
⅓ cups (80g) unsweetened applesauce
2 tsp (9g) baking powder
1 tsp (2.6g) ground cinnamon
1 tsp (5ml) pure vanilla extract
½ tsp salt
fresh mixed berries
powdered sugar
maple syrup
any nut butter of choice
unsweetened coconut yogurt","1. To a large bowl, add the milk and vinegar, mix, and let this rest for 5 minutes. The milk will start to slightly curdle, and this is normal.
2. Heat the waffle maker. Then, returning to the bowl, add the flour, applesauce, baking powder, cinnamon, vanilla, and salt, then mix until just combined.
3. Brush the waffle pan with some oil. Add a few spoonfuls of the waffle batter until the element is filled near to the top. Gently close the lid, and let it cook for 4 - 5 minutes, or until golden. Repeat this with the remaining batter.
4. Add desired toppings to your waffles, and enjoy!
5. †We recommend using either soy or pea milk for this recipe, as the high protein content of these milks are what allows the milk to curdle to create vegan buttermilk. We can't guarantee other plant-based milk will be successful.
6. Best if enjoyed immediately.
7. The waffles can be stored separately from the toppings in an airtight container in the fridge for up to 2 days.
8. Batch make and store these waffles in the freezer for up to 2 months. Simply pop in the toaster or oven to reheat and serve for a speedy breakfast.",
198,One-Bowl Blueberry Almond Breakfast Cookies,https://www.pickuplimes.com/recipe/one-bowl-blueberry-almond-breakfast-cookies-198,https://cdn.pickuplimes.com/cache/0c/9d/0c9da85982202b23cd4beb1744b847f8.jpg,"These cookies make a great grab-and-go snack. Considering all the wholesome ingredients used to make them, several cookies can also be enjoyed as a grab-and-go breakfast option for those hectic mornings.",,,,,"1 ripe banana
1¼ cups (115g) rolled oats gluten-free rolled oats
½ cups (50g) almond flour
¼ cups (60g) unsweetened applesauce
3 Tbsp (21g) ground flaxseeds
2 Tbsp (32g) almond butter any nut butter of choice
1 Tbsp (10g) whole chia seeds
1 tsp (5ml) pure vanilla extract
2 Tbsp (20g) raw pumpkin seeds (optional) raw sunflower seeds dried cranberries
½ tsp baking soda
½ tsp ground cinnamon
¼ tsp salt
½ cups (75g) fresh blueberries frozen blueberries
1.4 oz (40g) dairy-free dark chocolate, chopped dairy-free dark chocolate chips","1. Line a baking tray and preheat the oven to 350°F (180°C)*.
2. Add the banana to a large bowl and mash well.
3. Then add the remaining ingredients (except for the blueberries and chocolate). Mix well.
4. Finally, gently fold in the blueberries and chocolate.
5. Form small balls out of the dough and place on the baking tray. Gently flatten each ball as these cookies won't spread. Top with some more chocolate, if desired.
6. Bake on the centre rack of the oven for 13 - 15 minutes, or until lightly golden. Let cool completely on a cooling rack. Enjoy!
7. * We used top and bottom heating (not fan-assisted/convection).
8. Store in an airtight container in the fridge for up to 2 days.
9. Store in the freezer for up to 2 months to enjoy as a grab-and-go breakfast or snack!
10. Either reheat to enjoy immediately or allow to defrost at room temperature if enjoying as a snack later in the day.",
150,Frozen Yogurt Breakfast Bars,https://www.pickuplimes.com/recipe/frozen-yogurt-breakfast-bars-150,https://cdn.pickuplimes.com/cache/30/07/300745431ad4c046f20696ac5d2fcb5c.jpg,"A way to eat yogurt with one hand! These bars have a subtle sweetness and are rather filling thanks to the almond butter, oats, and yogurt.",,,,,"1 cup (130g) frozen mixed berries frozen raspberries
1 cup (180g) Medjool dates, pits removed
2 cups (185g) rolled oats gluten-free rolled oats
1 cup (255g) almond butter any nut butter of choice
¼ cups (28g) ground flaxseeds
1 tsp (2.6g) ground cinnamon
1½ cups (395g) unsweetened soy yogurt† any unsweetened plant-based yogurt of choice","1. Place the frozen berries in a saucepan on medium heat, stirring occasionally. The fruits will begin to thaw and release their juices. When heated through, remove from the heat.
2. In a food processor, blend the dates until smooth.
3. Add the oats, almond butter, ground flaxseed, and cinnamon. Blend again until well combined.
4. Transfer the mix to a lined 11 x 7 inch (18 x 28cm) baking dish and press firmly into the base of the dish. The more firmly you press, the better the bars will hold together.
5. Top with the yogurt and spread out evenly.
6. Dot the yogurt with the stewed berries and use a butter knife to swirl.
7. Place into the freezer and let freeze for 1 - 2 hours, or until the bars are solid enough to cut.
8. When removed from the freezer, cut into squares or bars of the desired size.
9. Let thaw for 3 - 5 minutes and enjoy!
10. †Nutrition tip: aim to use plant-based yogurt that is fortified with calcium.
11. Store in an airtight container in the freezer for up to 3 weeks, with parchment paper between cut slices of the bars to prevent them from sticking to each other.",
152,Samosa Sweet Potato Breakfast Wraps with Tofu Scramble,https://www.pickuplimes.com/recipe/samosa-sweet-potato-breakfast-wraps-with-tofu-scramble-152,https://cdn.pickuplimes.com/cache/68/7e/687ee7bfe80e046e409efadf21c562db.jpg,"These savoury wraps are easy to make and assemble the night before, just pop them in the microwave the next morning, and you are good to go! You can also make the fillings ahead of time and assemble them the next day.",,,,,"2 medium sweet potatoes, cut into 2 cm cubes medium potatoes
1 tsp (5ml) vegetable oil
¼ cups (34g) frozen green peas
½ tsp ground cumin
½ tsp ground coriander (optional)
½ tsp ground turmeric
½ tsp dried fenugreek leaves (optional)
1 pinch salt
1 pinch ground black pepper
1 tsp (5ml) vegetable oil
1 medium onion, diced
11 oz (325g) firm tofu, drained
1 tsp (3.1g) ground turmeric
1 tsp (0.9g) nutritional yeast flakes
1 tsp (3.2g) garlic powder
1 pinch salt, plus more to taste
1 pinch ground black pepper, plus more to taste
3 large soft tortillas large gluten-free tortillas
1 avocado, sliced
1 bell pepper, sliced
2 tsp (10ml) hot sauce(optional)","1. Steam the sweet potatoes in a medium pot using a steamer basket over high heat for 10-15 minutes, or until easily pierced with a fork.
2. Meanwhile, for the tofu scramble, heat the oil in a medium pan over medium heat. Add the onion and sauté until soft.
3. Gently squeeze out any excess water from the tofu, then crumble the tofu into the frying pan using your hands.
4. Then add the remaining tofu scramble ingredients. Cook for 3 - 5 minutes, or until everything is heated through. Transfer to a plate.
5. Return the now-empty pan to the stove. Add the cooked potatoes and oil. Panfry and mash the potatoes for 1 - 2 minutes.
6. Then add the remaining samosa sweet potato ingredients. Cook for 2 minutes, then transfer to a plate.
7. To assemble the wraps, add some potato filling and tofu scramble to the wrap. Top with avocado, and sliced peppers. Enjoy!
8. Store the components separately in the fridge in airtight containers for up to 3 days.
9. Store assembled wraps in the fridge for up to 12 hours or in the freezer for up to 1 month.",
